temperature,pressure,vibration,humidity,equipment,location,faulty
58.18018004,25.02927765,0.606516217,45.6949071,Turbine,Atlanta,0
75.74071221,22.9540176,2.338094754,41.86740679,Compressor,Chicago,0
71.35859424,27.27683032,1.389198305,58.95440891,Turbine,San Francisco,0
71.61698527,32.2429213,1.770689686,40.56513821,Pump,Atlanta,0
66.50683204,45.1974708,0.345397989,43.25379476,Pump,New York,0
49.51095945,76.42672868,4.809297753,20.26969225,Compressor,New York,1
66.90350286,45.5307587,1.548345351,64.80492153,Compressor,Houston,0
148.9233687,22.21412137,0.109818881,39.94495329,Turbine,San Francisco,1
50.40329876,45.39989898,2.231717827,43.06766663,Pump,Houston,0
63.88614753,33.80291245,1.139279625,41.79551533,Compressor,Atlanta,0
53.07043186,44.10520265,2.071652137,47.45874177,Compressor,New York,0
141.2603098,54.23905839,2.725690733,86.39046563,Pump,Atlanta,1
68.49162288,45.43867811,1.195048647,59.98967835,Compressor,Houston,0
84.71170327,44.08496468,1.359402994,47.56097051,Turbine,San Francisco,0
83.73658545,53.44757269,1.643007904,25.52504858,Turbine,New York,0
81.66370546,21.75488512,1.2024155,47.00673027,Compressor,Atlanta,0
67.41991464,31.18124113,1.469402129,40.99360252,Compressor,New York,0
57.90305257,30.36812624,1.652980012,48.85756086,Pump,Chicago,0
68.37207094,21.394982,1.224774064,47.37771863,Turbine,Atlanta,0
74.07052287,48.90387988,0.923369914,50.28728692,Compressor,Atlanta,0
60.57441994,29.87882796,0.984001054,44.62710989,Turbine,Chicago,0
67.28876399,42.90887035,0.892078009,48.50324626,Pump,Atlanta,0
73.37602662,24.21603373,0.865038456,59.74118468,Compressor,Chicago,0
88.33896546,39.4967381,1.273058201,46.4524818,Pump,Houston,0
67.81954105,40.37016109,2.460618709,64.31453021,Turbine,Houston,0
117.2556568,76.17469162,3.255742839,82.14305832,Pump,New York,1
54.80653925,36.81545555,0.900819227,43.23189264,Pump,New York,0
58.00302472,22.77126963,1.730394424,46.08052093,Pump,San Francisco,0
73.34438515,32.59251766,1.329865161,40.71237,Pump,San Francisco,0
65.21241428,47.8378801,0.845610848,45.03636871,Compressor,Atlanta,0
55.36485052,41.28148066,0.452781237,23.99464073,Compressor,New York,0
44.46078865,26.55110745,1.329239792,58.63842094,Turbine,San Francisco,0
73.7405657,38.48758104,1.255600101,44.20642507,Turbine,Houston,0
76.72861236,45.77552996,1.313840823,51.15435907,Compressor,Houston,0
135.3044006,66.01413954,1.070335316,62.92745868,Turbine,San Francisco,1
87.82975152,33.67594864,3.923827587,73.22646073,Pump,Houston,1
83.18302325,39.03492053,2.741882996,64.23631182,Compressor,Atlanta,0
79.78858051,47.29917385,1.853448145,49.97264444,Turbine,Chicago,0
56.4248246,36.75447131,0.812800376,59.51564925,Compressor,New York,0
62.07476553,45.92448296,0.95568614,54.37498296,Compressor,Chicago,0
81.44293069,32.85057698,1.254060273,55.64116926,Compressor,San Francisco,0
45.96331399,42.56752769,1.728700371,51.95365576,Compressor,Chicago,0
70.25388421,34.74990869,0.699905357,24.11640836,Compressor,New York,0
87.61188125,34.10298845,1.72733637,56.26205562,Pump,Atlanta,0
69.01690153,53.6642845,1.380225272,70.49507318,Turbine,Atlanta,0
62.12216248,45.74177489,2.18548138,35.76019666,Compressor,San Francisco,0
59.080661,28.57252581,1.510135946,46.48512235,Pump,Houston,0
75.73127813,38.57362889,0.979497391,66.31152515,Turbine,San Francisco,0
73.01873381,22.64320218,1.780207316,48.9781222,Pump,Atlanta,0
83.6414043,25.74067368,1.257435029,42.64469334,Turbine,Atlanta,0
15.90562234,40.78216845,3.919548838,77.36553387,Turbine,Houston,1
61.25564352,32.12694698,1.987553572,58.67153129,Turbine,Atlanta,0
69.24235713,41.12321725,1.096361115,59.90802856,Compressor,Houston,0
66.41755622,37.86667257,2.583442017,81.58941785,Turbine,Chicago,0
65.40343228,45.38333205,1.148083371,57.81511726,Turbine,New York,0
59.03724913,25.58066796,1.471746938,60.30316695,Pump,New York,0
70.04229859,34.9658965,1.642419848,55.1321105,Compressor,Houston,0
67.81346723,36.14724769,1.384290969,52.84964915,Compressor,Atlanta,0
67.40453322,32.28375875,2.031717861,54.22247499,Turbine,Houston,0
75.22142546,27.25213082,2.135959152,50.89004111,Turbine,New York,0
61.83782755,23.86413371,2.080605701,36.13620928,Compressor,Chicago,0
87.19040613,32.39408885,1.167233066,39.89399959,Compressor,New York,0
59.37696286,27.54103005,0.023088257,40.09286479,Compressor,Houston,0
61.56753405,43.9674921,1.786883881,61.20818649,Turbine,New York,0
69.77131938,29.23635943,1.407225733,51.75997252,Compressor,Houston,0
55.75251814,34.46178028,2.013597394,52.50261738,Pump,Houston,0
73.79767636,28.38907772,1.531596802,59.153183,Pump,San Francisco,0
74.41307152,28.16300287,1.894953873,49.90628441,Compressor,Atlanta,0
80.72507337,33.71940411,1.34750935,54.76584147,Compressor,Atlanta,0
82.57619056,39.38031856,1.635024807,40.77978622,Turbine,Chicago,0
80.725418,36.08899707,1.113917657,60.64083273,Compressor,Chicago,0
59.02697472,31.12297148,1.777993717,37.01280365,Compressor,San Francisco,0
66.99174044,34.58641648,1.78404371,44.49506884,Compressor,Atlanta,0
71.94384302,52.18637491,1.793917561,39.59619849,Compressor,Houston,0
128.686734,8.405743603,1.295058779,72.83163784,Turbine,Houston,1
59.84121173,39.70525812,1.612408368,54.36357593,Turbine,Chicago,0
65.30235536,37.79719806,1.885240218,32.57741031,Compressor,San Francisco,0
84.84116029,39.32014241,0.92557994,43.12476168,Pump,San Francisco,0
58.89424155,40.33796118,1.502542698,62.1532597,Turbine,New York,0
140.4879728,39.70782988,3.262112791,31.3083889,Turbine,Atlanta,1
81.95531388,33.63861975,2.498974102,41.27216572,Pump,Chicago,0
63.94285077,29.93128388,1.897320602,66.14729303,Compressor,Houston,0
62.38412135,26.54953496,1.313520745,66.39420549,Compressor,San Francisco,0
77.57495149,38.78252056,1.697272017,35.86030867,Pump,Houston,0
65.24204556,40.80335062,1.866607919,69.50928997,Turbine,Chicago,0
120.8558896,65.69227938,2.967703547,56.34173583,Compressor,Atlanta,1
107.2013617,17.81975372,2.52797626,49.08106902,Pump,Houston,1
48.03872179,31.02358011,1.017212497,55.95963309,Compressor,Atlanta,0
75.53040086,39.20749824,1.482593843,39.77187356,Turbine,San Francisco,0
71.73341664,34.51320384,1.072233665,50.52478057,Turbine,Atlanta,0
68.34919435,45.35002525,1.115334423,61.96526787,Pump,New York,0
58.77455194,27.02188034,1.57311764,37.0719071,Compressor,Chicago,0
64.55080913,46.96024248,1.659560421,42.15558081,Turbine,Chicago,0
